title,equity_pct_of_total_comp
Software Engineering Manager,20.967741935483872
Technical Program Manager,16.964285714285715
Product Manager,15.454545454545453
Hardware Engineer,13.436692506459949
Software Engineer,13.333333333333334
Product Designer,13.333333333333334
Data Scientist,10.81081081081081
Solution Architect,8.955223880597014
