model,mae,rmse,r2
Linear Regression,39856.98990972892,54117.68910630601,0.29569549006518314
Random Forest,39574.34681033677,53649.517996206094,0.30782863040953845
Gradient Boosting (default),39900.98164248505,54388.97738059672,0.2886165305772743
Gradient Boosting (tuned),39509.31153108792,53801.23078932719,0.3039083815885055
