model,accuracy,f1_weighted,cv_f1_mean,cv_f1_std
Logistic Regression,0.6795774647887324,0.6039356383957244,0.6052794686555698,0.008963021098171797
Random Forest,0.7014084507042253,0.6875537117097188,0.6649295824951351,0.010302706735832117
