model,accuracy,f1_weighted,cv_f1_mean,cv_f1_std
Logistic Regression,0.6732394366197183,0.568541539249721,0.5600415387991338,0.004049260704044274
Random Forest,0.6897887323943662,0.6823952433044761,0.6779878812732407,0.010327199525809523
