name,mae,rmse,r2,cv_r2_mean,cv_r2_std
Linear Regression,39856.97578863785,54117.69134555477,0.2956954317806165,0.42569984148102924,0.023415075050246197
Random Forest,39562.590232669405,53631.85916189282,0.30828421429499686,0.4278132812832138,0.025187140396604715
Gradient Boosting (default),39899.43198195688,54385.13151514863,0.2887171314162461,0.4346727850761898,0.022343559413557177
Gradient Boosting (tuned),39542.086665151124,,0.3025078828017058,,
